Geneid,tir1_d3_rep3,tir1_d3_rep1,tir1_d7_rep5,tir1_d7_rep4,tir1_d7_rep6,tir1_d3_rep4,tir1_d7_rep2,tir1_d7_rep1,tir1_d7_rep3,wt_d7_rep4,wt_d7_rep1,wt_d7_rep2,wt_d3_rep1,wt_d3_rep2,wt_d3_rep4,wt_d7_rep3
Cldn11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Slc7a14,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0
Gm15496,0,0,0,0,0,1,0,0,0,0,6,0,1,0,2,0
Gm38025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gm6558,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0
Kcnmb2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm37834,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gm37770,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Zmat3,398,919,547,405,800,629,630,704,611,501,598,597,524,483,492,581
Gm36990,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0
ENSMUSG00000120857,1,1,9,1,11,2,6,7,5,4,1,5,3,10,2,11
Pik3ca,2092,2316,5154,3212,3774,2032,3518,2754,3220,3061,1121,1326,1674,2498,2564,3544
Gm37123,14,84,65,25,35,0,8,34,32,0,0,5,26,0,0,58
Kcnmb3,18,8,5,23,0,78,0,10,8,37,6,5,0,19,0,36
Zfp639,2073,2941,3551,3790,4100,3389,3407,3470,3648,2829,2451,2096,2956,2505,3695,3274
Gm37592,8,0,2,17,53,38,9,13,25,26,0,0,0,29,16,12
Mfn1,780,1375,2219,1607,1752,1555,1947,2078,1362,1616,886,1267,1374,967,1838,1991
Gnb4,2247,1487,1595,1611,1238,1610,1683,1623,997,1580,1801,1325,1357,1664,1870,2800
Gm37640,15,9,41,14,0,0,2,10,0,0,0,0,9,7,51,59
Actl6a,10431,12405,11182,11658,11356,11098,10546,10334,10889,9308,7117,8678,10978,9106,12148,10136
Gm37353,0,0,0,0,16,0,0,1,5,11,61,0,0,6,0,0
Mrpl47,684,846,1276,1244,1343,923,1146,1121,924,1038,758,947,850,746,1109,981
Ndufb5,5591,4800,4492,6232,5641,4657,5444,5333,4559,4563,4257,4742,5750,4569,6340,5391
Usp13,65,4,0,8,0,0,0,0,0,13,55,10,0,1,1,38
Gm15574,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Gm37459,0,0,0,0,0,0,0,0,0,0,34,0,0,39,0,0
