Geneid,SpleenLN.TIR1.Resting.rep_1,SpleenLN.WT.Resting.rep_3,SpleenLN.WT.Activated.rep_1,SpleenLN.WT.Activated.rep_3,Thymus.TIR1.Developing.rep_1,Thymus.WT.Developing.rep_1,SpleenLN.WT.Resting.rep_2,SpleenLN.WT.Activated.rep_2,SpleenLN.TIR1.Resting.rep_3,SpleenLN.TIR1.Activated.rep_1,Thymus.TIR1.Developing.rep_3,Thymus.WT.Developing.rep_3,SpleenLN.TIR1.Activated.rep_2,SpleenLN.TIR1.Activated.rep_3,Thymus.TIR1.Developing.rep_2,Thymus.WT.Developing.rep_2,SpleenLN.WT.Resting.rep_1
Rev3l,779,999,1232,1107,1617,1778,1078,870,775,921,1647,1375,1098,1295,1853,1406,1812
Gm22105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16210,1,0,0,7,0,0,3,0,8,0,0,0,0,1,0,2,0
Mfsd4b4,157,247,144,335,236,59,127,36,139,120,108,109,207,61,208,78,181
4930547M16Rik,4,1,2,0,1,0,0,1,0,0,0,0,0,1,1,1,1
Idi1-ps3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
Mfsd4b2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm31848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mfsd4b3-ps,32,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0
Mfsd4b5,0,3,1,2,7,0,32,0,0,0,18,1,0,8,0,20,0
Mfsd4b1,1,0,0,2,2,0,0,2,1,0,14,0,0,0,0,0,0
Gm48839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8055,10,5,10,11,8,5,1,8,3,18,4,10,7,6,4,5,6
Slc16a10,114,54,70,87,112,41,16,78,47,88,93,60,61,104,165,32,55
Gm25613,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
Gm31992,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Gm47598,1,2,7,8,5,6,1,7,11,2,2,6,2,7,6,5,8
Gm37786,9,4,2,4,2,3,4,5,3,6,1,32,9,3,4,2,2
Rpf2,2230,2187,1831,1758,1753,1365,2194,2272,2100,2053,1801,1557,2000,2008,1809,1438,2334
Gtf3c6,2251,2549,1963,2001,2567,2105,2053,1994,2165,2317,2529,2193,2325,1699,2273,1997,2530
Snord3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002074875,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
A930033M14Rik,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm47867,0,0,0,10,0,2,0,0,0,4,0,2,0,16,2,0,0
Amd1,636,936,499,520,554,534,515,387,493,630,594,762,493,423,527,783,860
Gm8948,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Cdk19,1585,1869,1557,1211,1828,2111,1606,813,1220,1393,1926,2062,1434,1096,1417,1851,2403
Cdk19os,26,14,33,18,19,34,17,20,13,37,25,0,17,14,9,25,28
Gm18671,1,0,1,1,4,1,1,0,1,5,4,0,0,1,2,2,1
Gm17795,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0
Slc22a16,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0
Ddo,4,4,1,4,5,3,1,3,4,2,0,0,1,3,4,4,4
Mettl24,37,0,323,380,1,0,0,82,0,168,0,0,242,97,0,0,2
Cdc40,2862,4006,3193,3467,2761,2971,2929,2206,2744,2873,3832,3221,2719,3331,3799,2592,3560
Wasf1,3,4,57,0,2,4,4,3,1,4,0,5,22,3,3,64,4
Gm48057,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm19611,0,0,1,1,27,0,0,1,1,0,0,0,1,0,1,1,0
Gpr6,0,0,2,0,0,0,0,2,1,1,1,0,0,3,1,1,0
Gm32284,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm32338,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Fig4,1809,1962,1781,1793,976,1591,1551,921,1043,842,2315,998,1143,905,2357,1442,1834
Gm25526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ak9,20,10,16,24,12,16,16,15,8,13,19,18,15,11,18,25,9
Gm18305,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Gm18986,2,2,0,3,3,1,0,0,4,5,0,0,2,0,2,1,2
Gm25626,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm47473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zbtb24,2301,2405,2360,2255,1838,1962,2408,1100,2447,1684,2264,2254,1887,1790,2585,1747,2401
Mical1,2625,3637,7946,8486,2411,1495,2056,3041,1565,2652,2784,2405,4671,3561,2678,1582,2855
Smpd2,1719,1668,1706,2565,1344,2572,1477,1985,1031,1653,2225,2350,1707,1769,2353,2020,1388
Ppil6,1,31,12,5,2,15,2,1,4,11,2,1,14,11,0,0,0
Cd164,12765,12222,12466,11369,10942,10614,8914,10569,10297,14331,11581,10986,11714,10918,12238,10192,12508
Ccdc162,32,29,81,3,32,35,9,58,3,28,88,22,9,9,90,35,13
Gm17196,1,0,2,4,2,0,0,0,0,2,1,0,0,2,0,0,2
5730435O14Rik,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mir3473b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47099,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Cep57l1,973,1163,1073,1018,1437,1323,1169,698,820,1072,1007,1229,670,1006,1338,1361,1068
BC048559,51,3,1,59,1,1,31,18,0,4,38,20,1,25,10,1,1
Sesn1,5102,8321,8550,8123,5812,7003,7157,5292,4511,4000,6927,7654,5449,3397,7621,8034,8708
9930024M15Rik,110,163,110,140,133,190,143,121,97,124,139,216,93,68,141,112,132
Armc2,18,9,9,47,38,7,7,11,11,6,18,10,12,7,12,13,36
1700016J18Rik,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000120201,2,1,28,4,19,2,0,24,3,33,9,10,11,45,5,0,1
Tdg-ps2,15,10,24,38,15,21,8,26,11,14,25,25,17,6,27,9,17
Foxo3,436,400,303,446,426,428,447,365,354,390,384,655,199,302,717,368,376
